aX,aY,aZ,gX,gY,gZ
-0.153228906,-1.601720911,10.5320931,184.1679389,-2.664122137,6.870229008
-0.359130249,3.79241543,6.464344482,250.129771,-2.061068702,40.38931298
0.019153613,10.94389579,0.414196887,250.129771,-23.35877863,-21.49618321
0.529118567,11.65736788,-2.5953146,47.38167939,-17.06870229,-9.679389313
0.524330164,12.43308922,-2.968810059,-91.54198473,-3.458015267,-5.732824427
-0.079008655,9.641450085,1.209071838,-250.1374046,30.39694656,-1.633587786
0.203507141,-0.854729993,7.96072052,-250.1374046,14.11450382,-25.80152672
-0.49081134,-5.324704492,10.30224974,-85.25954198,-6,5
0.193930334,-2.949656445,9.761160168,37.49618321,-2.969465649,3.488549618
-0.469263525,-2.808398547,10.24718311,1.022900763,-2.595419847,6.20610687
-0.256179578,-2.470816113,10.06043538,11.3740458,-2.083969466,-1.160305344
-0.361524451,-2.370259644,10.1011368,0.335877863,-2.099236641,-0.099236641
-0.44771571,-2.183511914,10.0939542,5.435114504,-1.442748092,-1.778625954
-0.409408484,-2.29364519,10.35013378,3.984732824,-2.183206107,-0.022900763
-0.414196887,-2.044648218,9.557653027,7.877862595,-4.633587786,1.053435115
-9.576806641,0.095768066,2.851494177,-10.25954198,-3.366412214,-1.465648855
-9.349357483,-0.418985291,6.263231543,-26.95419847,-11.41221374,-5.06870229
-11.41315931,-0.787692346,8.209717493,-12.47328244,-74.38167939,-16.23664122
-11.41315931,-0.495599744,8.281543542,-16.19847328,-129.610687,-19.40458015
-10.8217915,-1.491587634,6.797138513,-1.236641221,-151.5801527,-8.79389313
-7.728482959,-0.895431421,6.670245825,38.9389313,-126.1832061,2.877862595
-4.388571643,-0.169988318,6.409277844,2.251908397,-111.4351145,6.129770992
-1.501164441,-0.964863269,6.205770703,-15.81679389,-75.54961832,4.847328244
0.052672437,-3.636792322,8.942343201,132.9694656,-35.50381679,7.877862595
1.06781394,-0.823605371,3.655945935,250.129771,3.618320611,32.32824427
-0.098162268,12.59350073,-5.025429285,250.129771,-35.83206107,-6.297709924
1.058237134,12.69884561,-4.915296008,-127.8015267,-4.549618321,-18.22137405
0.12928689,11.47062015,-1.501164441,-250.1374046,21.45038168,-12.92366412
-0.232237561,1.793257043,6.517016919,-250.1374046,-9.190839695,1.458015267
0.093373865,-6.148309863,10.25675991,-159.1679389,-12.01526718,-4.20610687
0.349553442,-2.741360901,9.765948572,72.32061069,-2.297709924,16.87022901
0.131681091,-2.602497205,9.909600671,-33.76335878,-2.045801527,2.244274809
0.062249243,-3.394977954,10.2376063,13.35877863,-5.916030534,1.763358779
-0.047884033,-2.700659473,9.957484705,4.236641221,-3.732824427,-1.580152672
0.217872351,-2.430114685,9.686939917,18.51908397,-1.06870229,-4.854961832
-0.112527478,-2.039859814,10.21127008,13.48091603,-3.007633588,-1.129770992
-0.136469495,-1.723825195,10.37647,17.30534351,-4.435114504,-3.145038168
0.162805713,-1.491587634,10.35252798,17.44274809,-2.709923664,-1.038167939
0.007182605,-0.54827218,10.26394252,18.67938931,-4.06870229,-2.053435115
0.258573779,-0.617704028,10.20169327,-16.2519084,0.389312977,-0.091603053
-9.224858997,0.713472095,3.313575098,24.32824427,-10.50381679,11.38167939
-8.655039001,0.407014282,3.10049115,-15.03053435,-1.679389313,6.946564885
-8.839392529,-0.988805286,8.458714465,-9.877862595,-15.45801527,-12.34351145
-11.18331595,0.897825623,8.55208833,28.8778626,-82.22900763,14.21374046
-11.1067015,0.4333505,8.497021692,-7.641221374,-122.8625954,1.106870229
-9.495403784,0.318428821,7.666233716,26.09923664,-119.0839695,17.35877863
-6.952761621,0.785298145,6.890512378,33.22900763,-109.9923664,25.06870229
-4.304774585,0.964863269,6.885723975,-7.06870229,-114.0610687,19.46564885
-1.798045447,0.60573302,6.344634399,-3.748091603,-100.7938931,4.007633588
1.601720911,0.964863269,6.823474731,-10.58778626,-38.72519084,21.96183206
0.612915625,0.112527478,10.02691655,-1.244274809,-10.0610687,-4.755725191
1.170764612,-2.377442249,10.63025537,232.6335878,-3.038167939,5.854961832
0.667982263,5.427655164,0.715866296,250.129771,-4.801526718,34.09923664
1.302445703,14.49449685,-5.968744739,121.2290076,-29.35114504,-0.022900763
1.101332764,9.035717065,-2.111685864,-49.48091603,-11.58015267,-6.687022901
0.656011255,12.53364569,-2.535459558,-250.1374046,2.152671756,-4.167938931
0.509964954,7.235277417,4.510675928,-250.1374046,-5.34351145,14.06870229
1.393425366,0.718260498,8.303091357,-250.1374046,12.19847328,-9.076335878
0.689530078,-4.357447021,11.14261453,0.045801527,-6.038167939,10.15267176
0.859518396,1.09654436,9.895235461,58.19847328,-10.9389313,0.267175573
0.459686719,-0.016759412,10.44111344,-35.12977099,2.007633588,-4.72519084
1.012747302,-0.251391174,10.42195983,6.847328244,-1.122137405,2.541984733
0.46208092,0.232237561,10.3836526,2.229007634,0.236641221,-4.671755725
0.900219824,-0.256179578,10.29267294,0.297709924,0.58778626,-0.770992366
0.483628735,0.11492168,10.29267294,1.618320611,-2.358778626,2.297709924
-9.617508069,-0.397437476,3.055001318,-19.66412214,-3.015267176,4.488549618
-9.222464795,-0.387860669,3.473986609,11.40458015,-3.022900763,0.969465649
-9.311050256,0.287304199,5.872976672,13.8778626,-21,8.404580153
-10.47463226,0.423773694,8.339004382,19.9389313,-71.77099237,0.709923664
-11.41076511,-0.861912598,8.820238916,1.450381679,-127.9770992,-24.86259542
-9.969455713,0.878672009,8.049305981,16.35877863,-135.5038168,7.152671756
-7.603984473,-0.320823022,7.316680273,-40.72519084,-126.2061069,-0.687022901
-4.484339709,-0.797269153,6.919242798,-5.221374046,-111.259542,-2.122137405
-1.498770239,-0.847547388,6.469132886,18.70229008,-77.42748092,-1.160305344
0.536301172,-0.179565125,7.151480359,3.770992366,-34.00763359,9.152671756
0.699106885,-0.471657727,9.277531433,-5.717557252,-8.038167939,-3.564885496
0.639251843,-2.750937708,11.16655654,154.2061069,-6.06870229,1.664122137
0.7206547,2.997540479,5.219359619,250.129771,-10.48091603,33.0610687
