Class,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
raise,-2.6767174560546900,-9.765948571777340,-2.5905261962890600,-9.892841259765630,-3.404554760742190,-10.235212097168000,-8.403647827148440,-10.996568225097700,-11.712434521484400,-16.529568261718700,-4.570530969238280,-17.666814050293000,-2.9759926635742200,-13.972560888671900,-1.3287819213867200,-10.103531005859400,-2.205059729003910,-4.029441394042970,-3.246537451171880,3.81156904296875,-3.825934252929690,5.422866760253910,-5.212177014160160,6.777984899902340,-5.058948107910160,6.074089611816410,-6.026205578613280,6.471527087402340
raise,-2.2649147705078100,-9.80665,-2.7198130859375,-10.04846436767580,-7.599196069335940,-11.690886706543000,-11.3389390625,-15.928623645019500,-5.671863732910160,-17.056292626953100,-3.871424084472660,-14.015656518554700,-1.8435352783203100,-9.100360510253910,-1.2785036865234400,-4.015076184082030,-1.9704279663085900,2.6982652709960900,-2.683900061035160,5.6958057495117200,-4.170699291992190,6.926425402832030,-5.360617517089840,6.924031201171880,-5.72693037109375,6.890512377929690,-6.58884296875,6.4643444824218700
raise,-7.596801867675780,-11.724405529785200,-11.611878051757800,-16.814478259277300,-4.575319372558590,-17.55189237060550,-1.7860744384765600,-15.035586425781200,-3.0214824951171900,-11.066000073242200,-0.7733271362304690,-4.726154077148440,-3.785232824707030,3.0526071166992200,-3.4261025756835900,6.275202551269530,-4.005499377441410,7.520187414550780,-5.116408947753910,7.292738256835940,-5.66946953125,7.038952880859380,-5.904101293945310,6.938396411132810,-5.916072302246090,6.833051538085940,-5.786785412597660,7.015010864257810
raise,-6.102820031738280,-10.417171423339800,-9.677363110351560,-13.084312072753900,-6.543353137207030,-14.803348864746100,-4.340687609863280,-12.641384765625000,-4.225765930175780,-9.710881933593750,-3.9839515625000000,-6.119579443359380,-3.9624037475585900,-1.4867992309570300,-4.520252734375,3.3638533325195300,-4.402936853027340,4.929661218261720,-6.030993981933590,5.161898779296880,-6.471527087402340,5.394136340332030,-7.146691955566410,5.341463903808590,-7.204152795410160,5.1140147460937500,-7.445967163085940,5.03740029296875
lower,-7.168239770507810,4.8889597900390600,-6.325480786132810,4.479551306152340,-4.0222587890625,3.7804444213867200,-2.7820623291015600,1.924938134765630,-1.7956512451171900,-0.7541735229492190,-6.177040283203130,-2.6623522460937500,-8.52335791015625,-6.624755993652340,-7.4962453979492200,-10.855310327148400,-10.168174450683600,-13.759476940918000,-8.353369592285160,-14.647725756835900,-6.1076084350585900,-11.403582507324200,-3.881000891113280,-10.694898815918000,-3.4452561889648400,-10.237606298828100,-1.407790576171880,-10.050858569335900
lower,-7.4028715332031200,5.293579870605470,-6.354211206054690,4.92247861328125,-3.9528269409179700,3.5577836669921900,-1.8291700683593700,0.7445967163085940,-3.0980969482421900,-1.1611878051757800,-4.350264416503910,-6.246472131347660,-11.487379565429700,-12.57674132080080,-9.133879333496090,-15.076287854003900,-7.503428002929690,-13.575123413085900,-4.824316345214840,-11.434707128906200,-4.469974499511720,-9.715670336914060,-2.920926025390630,-9.627084875488280,-2.8323405639648400,-9.452308154296870,-2.4349030883789100,-9.5001921875
lower,-7.232883215332030,3.912125512695310,-3.1675287963867200,2.7844565307617200,-2.4564509033203100,1.465251416015630,-2.91134921875,-1.7860744384765600,-5.1882349975585900,-6.785167504882810,-10.572794531250000,-9.763554370117190,-10.053252770996100,-12.00213292236330,-6.698976245117190,-12.35408056640630,-6.718129858398440,-12.327744348144500,-4.139574670410160,-10.723629235839800,-3.1771056030273400,-10.47702646484380,-2.437297290039060,-9.660603698730470,-1.7932570434570300,-9.574412438964840,-1.4891934326171900,-9.437942944335940
lower,-6.907271789550780,5.355829113769530,-5.449202978515630,5.315127685546880,-3.6559459350585900,4.601655590820310,-2.35589443359375,2.061407629394530,-4.42448466796875,-1.637633935546880,-5.272032055664060,-5.070919116210940,-5.667075329589840,-9.203311181640620,-9.674968908691410,-12.413935607910200,-8.750807067871090,-15.552733984375,-6.469132885742190,-11.563994018554700,-5.4013189453125,-12.016498132324200,-2.9089550170898400,-10.275913525390600,-1.216254443359380,-9.737218151855470,-0.8020575561523440,-9.667786303710940
lower,-7.252036828613280,5.42047255859375,-7.599196069335940,5.652710119628910,-7.235277416992190,5.801150622558590,-6.497863305664060,5.61200869140625,-3.5290532470703100,6.205770703125000,-2.7341782958984400,3.440467785644530,-2.1930887207031200,-1.0175357055664100,-2.6599580444335900,-3.835511059570310,-4.716577270507810,-9.212887988281250,-10.481814868164100,-15.155296508789100,-11.48498536376950,-11.86805762939450,-6.83783994140625,-12.514492077636700,-5.130774157714840,-10.989385620117200,-4.338293408203130,-10.544064111328100
lower,-5.942408520507810,4.582501977539060,-6.332663391113280,5.121197351074220,-6.241683728027340,5.0014872680664100,-5.149927770996090,5.063736511230470,-3.191470812988280,3.8379052612304700,-3.1651345947265600,1.0199299072265600,-4.187458703613280,-2.070984436035160,-3.6104561035156200,-7.994239343261720,-8.02536396484375,-11.678915698242200,-8.339004382324220,-13.53442198486330,-5.698199951171870,-13.759476940918000,-4.434061474609380,-11.326968054199200,-3.7134067749023400,-11.152191333007800,-2.626439221191410,-10.666168395996100
lower,-7.244854223632810,4.970362646484380,-7.632714892578120,5.576095666503910,-7.264007836914060,5.753266589355470,-5.382165332031250,5.327098693847660,-4.0222587890625,4.80755693359375,-2.6503812377929700,3.5098996337890600,-1.3455413330078100,-0.9528922607421880,-3.6008792968750000,-4.405331054687500,-6.4092778442382800,-8.59997236328125,-10.127473022460900,-12.46181964111330,-7.618349682617190,-16.117765576171900,-5.49708701171875,-11.966219897460900,-3.88818349609375,-12.04762275390630,-3.564966271972660,-11.2240173828125
lower,-7.594407666015620,3.191470812988280,-8.197746484375,3.845087866210940,-7.5537062377929700,4.836287353515620,-5.066130712890630,5.2816088623046900,-4.113238452148440,4.874594580078120,-3.201047619628910,2.9664158569335900,-2.636016027832030,0.04548983154296880,-3.806780639648440,-4.247313745117190,-6.330269189453130,-7.321468676757810,-8.681375219726560,-12.322955944824200,-9.667786303710940,-15.270218188476600,-6.294356164550780,-12.526463085937500,-5.837063647460940,-12.55758770751950,-4.675875842285160,-11.247959399414100
lower,-7.60398447265625,6.100425830078130,-5.985504150390630,5.240907434082030,-3.2609026611328100,4.908113403320310,-1.0773907470703100,2.5378537597656200,-2.3918074584960900,0.031124621582031200,-4.508281726074220,-3.878606689453130,-4.984727856445310,-9.279925634765620,-10.184933862304700,-14.719551806640600,-5.2456958374023400,-18.052280517578100,-6.203376501464840,-13.309367028808600,-4.314351391601560,-14.018050720214800,-2.882618798828130,-9.076418493652340,-1.158793603515630,-9.624690673828130,-0.8188169677734380,-9.801861596679690
none,-2.114080065917970,-10.0748005859375,-2.5043349365234400,-9.267954626464840,-1.7621324218750000,-9.121908325195310,-2.5737667846679700,-9.038111267089840,-1.9393033447265600,-9.512163195800780,-0.8571241943359380,-9.548076220703130,-1.9393033447265600,-9.579200842285160,-3.450044592285160,-9.533711010742190,-2.6599580444335900,-9.600748657226560,0.11252747802734400,-8.597578161621090,-0.33758243408203100,-9.117119921875,-2.1883003173828100,-9.938331091308590,-6.713341455078120,-8.927977990722660,1.2569558715820300,-8.95670841064453
